Transaction_Name,Minimum,Average,Maximum,Std_Deviation,ninety_Percent,Pass,Fail,Stop
CreateCustomerTriplePlay_Login,0.631,0.642,0.653,0.011,0.653,2,0,0
CreateCustomerTriplePlay_SearchAddress,0.218,0.29,3.276,0.153,0.323,928,1,0
CreateCustomerTriplePlay_SearchAddress_XX_AIS_Address,0.218,0.29,3.276,0.153,0.322,928,1,0
CreateCustomerTriplePlay_ClickAdd,0.125,0.176,1.138,0.046,0.201,928,0,0
CreateCustomerTriplePlay_ClickAdd_XX_AIS_Address,0.016,0.03,0.444,0.016,0.034,928,0,0
CreateCustomerTriplePlay_ClickAdd_XX_AIS_Drops,0.016,0.027,0.172,0.01,0.033,928,0,0
CreateCustomerTriplePlay_ClickAdd_XX_CDI_Customers,0.078,0.119,1.082,0.041,0.135,928,0,0
CreateCustomerTriplePlay_CreateCust,0.608,1.113,5.871,0.463,1.582,929,0,0
CreateCustomerTriplePlay_CreateCust_XX_CDI_customers,0.078,0.117,0.607,0.032,0.128,929,0,0
CreateCustomerTriplePlay_CreateCust_XX_FFM_AddressID,0,0,0,0,0,929,0,0
CreateCustomerTriplePlay_CreateCust_XX_OE_custDesktop,0.437,0.923,5.68,0.458,1.391,929,0,0
CreateCustomerTriplePlay_CreateCust_XX_SA_ServiceAvailability,0,0.018,0.326,0.007,0.023,3716,0,0
CreateCustomerTriplePlay_CreateCust_XX_TSRWS_getCityNode,0,0,0,0,0,2787,0,0
CreateCustomerTriplePlay_CreateCust_XX_TSRWS_RegionalNodeAndServerStatus,0,0,0,0,0,1858,0,0
CreateCustomerTriplePlay_Internet300,0.14,0.411,5.248,0.258,0.596,928,0,0
CreateCustomerTriplePlay_Internet300_XX_OE_InstallationFee,0.031,0.141,3.367,0.161,0.194,928,0,0
CreateCustomerTriplePlay_Internet300_XX_OE_ItemModified,0.106,0.27,1.88,0.126,0.396,928,0,0
CreateCustomerTriplePlay_InternetHWWrench,0.047,0.136,1.348,0.096,0.2,927,0,0
CreateCustomerTriplePlay_InternetHWWrench_XX_OE_showHWPop,0.047,0.136,1.348,0.096,0.2,927,0,0
CreateCustomerTriplePlay_Internet_Validate_XB6,0.14,0.397,2.909,0.216,0.562,927,0,0
CreateCustomerTriplePlay_Internet_Validate_XX_OE_validateHW,0.14,0.397,2.909,0.216,0.562,927,0,0
CreateCustomerTriplePlay_SaveInternetEquipment,0.094,0.316,2.948,0.191,0.453,926,0,0
CreateCustomerTriplePlay_SaveInternetEquipment_XX_OE_saveEquipment,0.094,0.316,2.948,0.191,0.453,926,0,0
CreateCustomerTriplePlay_LargeTv,0.25,0.531,4.086,0.256,0.77,925,0,0
CreateCustomerTriplePlay_LargeTv_XX_OE_desktopItem,0.25,0.531,4.086,0.256,0.77,925,0,0
CreateCustomerTriplePlay_DigitalChannel,0.109,0.231,3.026,0.166,0.312,925,0,0
CreateCustomerTriplePlay_DigitalChannel_XX_OE_openChannelsPopup,0.109,0.231,3.026,0.166,0.312,925,0,0
CreateCustomerTriplePlay_DigitalChannel_Pick10,0.371,0.749,5.523,0.384,1.06,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Pick10_XX_OE_desktopItemModified,0.278,0.569,5.006,0.307,0.824,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Pick10_XX_OE_openAggregationOfferingDialog,0.078,0.18,2.031,0.129,0.245,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10,3.352,5.935,18.036,1.723,8,928,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_1,0.296,0.591,4.477,0.293,0.815,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_10,0.312,0.594,2.164,0.214,0.841,928,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_2,0.312,0.586,5.414,0.275,0.803,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_3,0.312,0.588,3.559,0.234,0.819,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_4,0.309,0.582,3.552,0.229,0.781,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_5,0.296,0.589,1.795,0.21,0.842,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_6,0.309,0.602,4.557,0.287,0.818,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_7,0.312,0.597,2.54,0.219,0.833,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_8,0.296,0.598,3.46,0.244,0.828,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Select10_XX_OE_desktopItemModified_9,0.312,0.608,7.939,0.348,0.839,927,0,0
CreateCustomerTriplePlay_DigitalChannel_Save,0.044,0.112,1.32,0.079,0.165,928,0,0
CreateCustomerTriplePlay_DigitalChannel_Save_XX_OE_okAggregationOfferingDialog,0.044,0.112,1.32,0.079,0.165,928,0,0
CreateCustomerTriplePlay_DigitalChannel_Additional3,0.961,1.787,9.269,0.735,2.472,929,0,0
CreateCustomerTriplePlay_DigitalChannel_Additional3_XX_OE_desktopItemModified_1,0.296,0.604,5.307,0.349,0.856,929,0,0
CreateCustomerTriplePlay_DigitalChannel_Additional3_XX_OE_desktopItemModified_2,0.303,0.583,3.992,0.244,0.812,929,0,0
CreateCustomerTriplePlay_DigitalChannel_Additional3_XX_OE_desktopItemModified_3,0.3,0.6,3.711,0.267,0.856,929,0,0
CreateCustomerTriplePlay_DigitalChannel_save,0.031,0.107,0.831,0.054,0.157,929,0,0
CreateCustomerTriplePlay_DigitalChannel_save_XX_OE_okChannelsPopup,0.031,0.107,0.831,0.054,0.157,929,0,0
CreateCustomerTriplePlay_TVHW_Wrench,0.062,0.169,3.125,0.158,0.235,926,0,0
